num_rules,average_rule_len,average_rule_usage,proportional_terminal_char,spam
41,8.09756,3.78049,0.656627,1
95,6.08421,3.98947,0.508651,1
44,6.47727,3.52273,0.610526,1
126,5.57937,3.79365,0.499289,1
30,6.66667,3.13333,0.68,1
30,6.66667,3.13333,0.68,1
129,5.91473,3.96124,0.499345,1
75,5.97333,3.65333,0.555804,1
87,5.73563,3.71264,0.527054,1
133,4.95489,3.69925,0.455235,1
5,14.4,3,0.861111,1
52,6.15385,3.44231,0.603125,1
47,6.40426,3.42553,0.621262,1
26,6.73077,3.19231,0.674286,1
48,6.08333,3.375,0.609589,1
11,8.45455,3.18182,0.741935,1
224,5.34375,4.22321,0.396825,1
40,6.875,3.475,0.64,1
6,11.6667,2.66667,0.857143,1
63,5.74603,3.55556,0.555249,1
255,5.89804,4.67843,0.37633,1
44,6.81818,3.45455,0.64,1
9,7.77778,2.77778,0.771429,1
9,8.77778,2.88889,0.78481,1
322,5.93789,4.81988,0.356695,1
82,6.52439,4.03659,0.534579,1
140,5.32857,3.88571,0.458445,1
168,5.07143,3.8869,0.430751,1
43,5.65116,3.37209,0.580247,1
7,10.2857,3,0.805556,1
6,11.6667,2.83333,0.842857,1
91,5.81319,3.69231,0.536862,1
7,9.71429,2.85714,0.808824,1
34,6.85294,3.55882,0.626609,1
87,5.96552,3.75862,0.537572,1
105,5.6,3.68571,0.520408,1
26,6.73077,3.19231,0.674286,1
841,4.98335,4.90488,0.216416,1
8,11,2.875,0.829545,1
3,11,2.66667,0.848485,1
49,6.83673,3.71429,0.602985,1
3,14.3333,2.33333,0.906977,1
58,5.62069,3.56897,0.542945,1
7,9.14286,2.85714,0.796875,1
36,5.88889,3.30556,0.608491,1
108,5.37963,3.85185,0.46988,1
131,5.35878,3.82443,0.472934,1
313,5.1885,4.39297,0.346059,1
64,6.125,3.48438,0.594388,1
7,10.5714,3,0.810811,1
53,6.22642,3.33962,0.624242,1
15,8.4,3.06667,0.753968,1
80,5.55,3.6125,0.529279,1
8,11,3,0.818182,1
1,51,1,1,1
26,6.73077,3.19231,0.674286,1
300,5.39,4.43667,0.3624,1
101,5.66337,3.89109,0.48951,1
57,6.12281,3.45614,0.598854,1
75,5.82667,3.69333,0.537757,1
31,6.67742,3.35484,0.647343,1
202,5.68812,4.35644,0.409922,1
158,5.02532,3.86076,0.43073,1
609,5.12644,4.90148,0.238949,1
