num_rules,average_rule_len,average_rule_usage,std_rule_len,std_rule_usage,prop_term_char,prop_bigrams,prop_repeat_rule_bigrams,prop_repeat_bigrams,spam
3,16,2.33333,19.799,1.37437,0.916667,0.666667,0,0,1
215,5.14884,3.9907,42.6517,2.11636,0.211293,0.865116,0,0.00465116,1
226,5.0177,3.9292,42.8032,2.19701,0.210997,0.902655,0.00442478,0.0132743,1
10,7.7,2.9,17.1,1.22066,0.725,0.9,0,0,1
33,6.87879,3.42424,27.0698,1.56728,0.57874,0.878788,0,0,1
238,4.94538,3.97899,43.0731,2.06704,0.203478,0.894958,0,0.00420168,1
41,5.80488,3.41463,22.1813,2.01792,0.469595,0.804878,0,0.0487805,1
32,6.625,3.5625,25.2138,1.78426,0.515873,0.875,0,0,1
300,6.4,4.05667,75.9675,2.04616,0.433824,0.99,0,0.0233333,1
516,5.15504,4.74031,67.5925,3.87028,0.140277,0.887597,0.00387597,0.00775194,1
55,5.67273,3.56364,25.7689,1.63222,0.385135,0.854545,0.0727273,0.109091,1
65,5.44615,3.44615,23.2412,1.31887,0.347594,0.784615,0,0,1
388,5.00773,4.2732,48.7983,2.88662,0.153899,0.81701,0.00257732,0.0180412,1
50,5.74,3.5,24.625,1.37477,0.321429,0.9,0.16,0.16,1
104,6.04808,4.04808,40.1977,2.03517,0.376357,0.903846,0,0.00961538,1
322,5.07764,4.20497,50.4614,3.16251,0.190702,0.869565,0.00931677,0.0310559,1
14,8,3,20.252,1.19523,0.666667,0.571429,0,0,1
391,4.82609,4.29156,50.5555,2.79466,0.103288,0.87468,0.0102302,0.028133,1
174,6.87931,4.02874,63.7217,2.85759,0.42648,0.971264,0,0.0287356,1
54,6.12963,3.61111,29.653,1.66017,0.472637,0.925926,0,0.0185185,1
93,6.01075,3.90323,37.9509,1.82318,0.397524,0.967742,0,0,1
18,7.83333,3.38889,23.81,1.41966,0.620253,0.888889,0.0555556,0.0555556,1
45,6.28889,3.48889,28.1485,1.33537,0.508929,0.933333,0,0,1
40,6.975,3.4,29.6315,1.49666,0.577287,0.775,0,0,1
87,6.18391,3.78161,38.1538,1.67418,0.430859,0.91954,0,0,1
91,5.83516,3.82418,33.0262,2.0386,0.335373,0.802198,0,0.021978,1
610,6.39508,5.72295,107.368,4.86341,0.153245,0.959016,0,0.0114754,1
37,6.56757,3.62162,26.41,1.64154,0.48505,0.864865,0,0,1
4,15.5,2.75,23.3827,1.47902,0.873016,0.75,0,0,1
27,7.7037,3.51852,27.7259,1.65262,0.580913,0.888889,0.037037,0.037037,1
21,8.19048,3.61905,27.4619,1.79884,0.546729,0.904762,0,0,1
25,7.36,3.56,25.8517,1.9714,0.571429,0.88,0,0,1
52,6.5,3.55769,31.857,1.61023,0.515075,0.942308,0,0.0192308,1
34,7.38235,3.55882,30.7456,1.64837,0.579505,0.941176,0,0.0294118,1
6,9,2.66667,15.6525,1.24722,0.814815,0.833333,0,0,1
137,5.43796,3.72263,38.6398,1.99353,0.329204,0.941606,0.0437956,0.0656934,1
45,5.88889,3.42222,23.0277,1.31637,0.39196,0.888889,0.111111,0.111111,1
41,6.56098,3.41463,27.7428,1.45628,0.539683,0.829268,0,0,1
85,5.68235,3.57647,32.5516,1.67245,0.428571,0.882353,0.0117647,0.0117647,1
8,9.375,2.875,19.5124,1.26861,0.779221,0.875,0,0,1
724,5.00138,4.84945,73.347,4.12119,0.102231,0.860497,0.00138122,0.00552486,1
346,5.12428,4.41618,51.7427,2.94166,0.174904,0.82948,0.00289017,0.0115607,1
22,8,3.22727,25.1197,1.41202,0.622549,0.772727,0,0,1
127,5.28346,3.62992,32.687,1.69902,0.281773,0.84252,0.00787402,0.0314961,1
133,6.25564,4.40602,48.8936,2.31873,0.344859,0.992481,0,0.0075188,1
370,6.21351,4.18378,80.7308,2.3501,0.386285,0.986486,0,0.0243243,1
